State,Organization,School Name,Reporting Year,Site ID (from CISDM),NCES School ID,CIS Model or GYS?,Non-traditional school?,Site Category,Site Type,"SC Presence at School:
 None (0 Hrs), (<32hrs) Part Time, (32+) Full Time",Parents Engaged,Total Alumni Served,Student Enrollment,Number of Students w/ ONLY WS Supports,Non-Case Managed Students,Case Managed Students,Total Students Served,"Students, Female - American Indian","Students, Female - Asian","Students, Female-
 Native Hawaiian/Other Pacific Islander","Students, Female - Black","Students, Female - Hispanic","Students, Female - White","Students, Female - Two or More Races","Students, Female - Other","Students, Female - Unknown","Students, Male - American Indian","Students, Male - Asian","Students, Male - 
Native Hawaiian/Other Pacific Islander","Students, Male - Black","Students, Male - Hispanic","Students, Male - White","Students, Male - Two or More Races","Students, Male - Other","Students, Male - Unknown","Students, Other Gender - American Indian","Students, Other Gender - Asian","Students, Other Gender - 
Native Hawaiian/Other Pacific Islander","Students, Other Gender - Black","Students, Other Gender - Hispanic","Students, Other Gender - White","Students, Other Gender - Two or More Races","Students, Other Gender - Other Race","Students, Other Gender - Unknown Race","Students, Unknown Gender - American Indian","Students, Unknown Gender - Asian","Students, Unknown Gender - 
Native Hawaiian/Other Pacific Islander","Students, Unknown Gender - Black","Students, Unknown Gender - Hispanic","Students, Unknown Gender - White","Students, Unknown Gender - Two or More Races","Students, Unknown Gender - Other Race","Students, Unknown Gender - Unknown Race","Race/Gender
Total","Hispanic, Latino, or Spanish",Middle Eastern or North African (MENA),"Two or More
Ethnicities",None Listed,Unknown,"TOTAL
Ethnicity",Community Eligibility Provision,eligible FRPL,not eligible FRPL,unknown FRPL,FRPL - TOTAL (auto),Adj Youth - Yes,Adj Youth - No,Adj Youth - Unknown,Adj Youth - TOTAL (auto),Child of military - Yes,Child of military - No,Child of military - Unknown,Child of military - TOTAL (auto),ELL - Yes,ELL - No,ELL - Unknown,ELL - TOTAL (auto),Exposed to Trauma - Yes,Exposed to Trauma - No,Exposed to Trauma - Unknown,Exposed to Trauma - TOTAL (auto),Foster care/Group home - Yes,Foster care/Group home - No,Foster care/Group home - Unknown,Foster care/Group home - TOTAL (auto),Gang Involvement - Yes,Gang Involvement - No,Gang Involvement - Unknown,Gang Involvement - TOTAL (auto),Homeless - Yes,Homeless - No,Homeless - Unknown,Homeless - TOTAL (auto),Incarcerated parent - Yes,Incarcerated parent - No,Incarcerated parent - Unknown,Incarcerated parent - TOTAL (auto),LGBTQ+ - Yes,LGBTQ+ - No,LGBTQ+ - Unknown,LGBTQ+ - TOTAL (auto),Over age/Under credit - Yes,Over age/Under credit - No,Over age/Under credit - Unknown,Over age/Under credit - TOTAL (auto),Pregnant/ Parenting - Yes,Pregnant/ Parenting - No,Pregnant/ Parenting - Unknown,Pregnant/ Parenting - TOTAL (auto),Special Education - Yes,Special Education - No,Special Education - Unknown,Special Education - TOTAL (auto),Substance abuse - Yes,Substance abuse - No,Substance abuse - Unknown,Substance abuse - TOTAL (auto),Attendance: CM students w/ goal,Attendance: CM students met goal,"Attendance: CM students not met, with progress","Attendance: CM students not met, no progress",Behavior: CM students w/ goal,Behavior: CM students met goal,"Behavior: CM students not met, with progress","Behavior: CM students not met, no progress",Academics: CM students w/ goal,Academics: CM students met goal,"Academics: CM students not met, with progress","Academics: CM students not met, no progress",SEL: CM students w/ goal,SEL: CM students met goal,"SEL: CM students not met, with progress","SEL: CM students not met, no progress",SEL: CM students progress not shown due to school closure,SEL Metric Name,High Risk Behavior: CM students w/ goal,High Risk Behavior: CM students met goal,"High Risk Behavior: CM students not met, with progress","High Risk Behavior: CM students not met, no progress",College Readiness: CM students w/ goal,College Readiness: CM students met goal,"College Readiness: CM students not met, with progress","College Readiness: CM students not met, no progress",Career Readiness: CM students w/ goal,Career Readiness: CM students met goal,"Career Readiness: CM students not met, with progress","Career Readiness: CM students not met, no progress",K-11 Promoted,K-11 Graduated,K-11 Retained,K-11 Dropped Out,K-11 Transferred,K-11 GED,K-11 Expelled,K-11 Incarcerated,K-11 Deceased,K-11 Other,K-11 Unknown,K-11 TOTAL (auto),Grade 12 Graduated,Grade 12 Retained,Grade 12 Dropped Out,Grade 12 Transferred,Grade 12 GED,Grade 12 Expelled,Grade 12 Incarcerated,Grade 12 Deceased,Grade 12 Other,Grade 12 Unknown,Grade 12 TOTAL (auto),# of PreK Students,# of College Students,# of addl students (Other and Unknown Grade),EOY Status - TOTAL (auto),Grade 12 Graduated in 4 yrs,# Post-secondary School,Cert/ Apprentice,Associate,Bachelor,# Workforce,# Military,# Other,# Unknown,# Student Unsure,# Not Captured,Postsecondary- TOTAL (auto),Organization ID
LA,CIS of the Gulf South,Advantage Charter Academy,Not Reporting,422819,220026802385,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Academic Mindset (SEAD construct), Behavior Engagement, Cognitive Engagement, Emotional Engagement, Global Engagement (Engagement Survey), Other (SEL), Overall SEAD assessment score, Self Control (SEAD), Self-Perception (SEAD), Social Engagement, Social Support (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Alternative Center for Education,Not Reporting,536500,129244000001,,Yes,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Anderson Middle School,2019/2020 SY,329929,220072000505,CIS Model,No,Public School,Middle ,Full Time,50,0,440,385,26,48,433,0,2,0,21,1,6,1,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,11,1,13,,47,0,1,48,1,46,1,48,0,47,1,48,0,47,1,48,29,18,1,48,1,46,1,48,0,46,2,48,4,43,1,48,2,42,4,48,1,45,2,48,5,41,2,48,0,47,1,48,0,46,2,48,1,46,1,48,48,45,2,1,48,44,3,1,48,40,4,4,1,0,0,0,0,Overall SEAD assessment score,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,4,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Arthur Ashe Charter School,2019/2020 SY,242051,220019200947,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,200,0,822,400,90,110,510,0,0,0,44,1,1,0,0,0,0,0,0,60,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,4,0,0,17,15,36,,78,0,32,110,2,57,51,110,0,41,69,110,7,66,37,110,34,12,64,110,1,58,51,110,0,49,61,110,3,61,46,110,7,33,70,110,0,35,75,110,1,52,57,110,0,79,31,110,26,31,53,110,1,49,60,110,107,71,7,29,107,80,3,24,107,62,9,36,0,0,0,0,0,"Other (SEL), Overall SEAD assessment score, Self Control (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Belle Place Elementary School,Not Reporting,536620,220072002479,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other (SEL), Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Belle Place Middle School,Not Reporting,536619,220072001927,,No,Public School,Middle ,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Overall SEAD assessment score,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Benjamin Franklin High School,Not Reporting,516549,220029900888,,No,Public School,High,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Emotional Engagement, Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Bonnabel Magnet Academy High School,2019/2020 SY,383495,220084000585,CIS Model,No,Community-Based Site,Community-Based Site,Full Time,20,0,1342,1320,23,6,1326,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,4,0,2,6,0,2,4,6,0,2,4,6,0,4,2,6,4,0,2,6,0,4,2,6,0,3,3,6,0,4,2,6,0,1,5,6,1,2,3,6,0,4,2,6,2,1,3,6,0,3,3,6,0,3,3,6,6,6,0,0,6,5,0,1,6,4,2,0,0,0,0,0,0,,1,0,0,1,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,2,0,1,1,0,0,0,0,0,0,2,33860
LA,CIS of the Gulf South,Bricolage Academy,Not Reporting,36502,220028902364,,No,Public Charter,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other (SEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Caneview Elementary,Not Reporting,516555,220072002260,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other (SEL), Overall SEAD assessment score, Social Awareness (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
